"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"CD81","ENSG00000110651","protein_coding","CD81","7"
"CDC20","ENSG00000117399","protein_coding","CDC20","2"
"CDC37L1","ENSG00000106993","protein_coding","CDC37L1","4"
"CDC5L","ENSG00000096401","protein_coding","CDC5L","1"
"CDC7","ENSG00000097046","protein_coding","CDC7","3"
"CDCA8","ENSG00000134690","protein_coding","CDCA8","4"
"CDH4","ENSG00000179242","protein_coding","CDH4","1"
"CDIP1","ENSG00000089486","protein_coding","CDIP1","6"
"CDK1","ENSG00000170312","protein_coding","CDK1","8"
"CDK10","ENSG00000185324","protein_coding","CDK10","16"
"CDK13","ENSG00000065883","protein_coding","CDK13","2"
"CDK4","ENSG00000135446","protein_coding","CDK4","6"
"CDK5RAP1","ENSG00000101391","protein_coding","CDK5RAP1","13"
"CDKN1B","ENSG00000111276","protein_coding","CDKN1B","1"
"CDKN2C","ENSG00000123080","protein_coding","CDKN2C","1"
"CDR2L","ENSG00000109089","protein_coding","CDR2L","1"
"CEBPG","ENSG00000153879","protein_coding","CEBPG","6"
"CECR5","ENSG00000069998","protein_coding","CECR5","2"
"CELF1","ENSG00000149187","protein_coding","CELF1","6"
"CENPC","ENSG00000145241","protein_coding","CENPC","2"
"CENPF","ENSG00000117724","protein_coding","CENPF","2"
"CENPO","ENSG00000138092","protein_coding","CENPO","2"
"CEP128","ENSG00000100629","protein_coding","CEP128","3"
"CEP152","ENSG00000103995","protein_coding","CEP152","3"
"CEP164","ENSG00000110274","protein_coding","CEP164","3"
"CEP85","ENSG00000130695","protein_coding","CEP85","3"
"CERK","ENSG00000100422","protein_coding","CERK","3"
"CFL1","ENSG00000172757","protein_coding","CFL1","11"
"CHAF1A","ENSG00000167670","protein_coding","CHAF1A","1"
"CHCHD1","ENSG00000172586","protein_coding","CHCHD1","3"
"CHCHD3","ENSG00000106554","protein_coding","CHCHD3","9"
"CHD2","ENSG00000173575","protein_coding","CHD2","7"
"CHFR","ENSG00000072609","protein_coding","CHFR","15"
"CHMP1A","ENSG00000131165","protein_coding","CHMP1A","5"
"CHMP4B","ENSG00000101421","protein_coding","CHMP4B","1"
"CHST11","ENSG00000171310","protein_coding","CHST11","3"
"CHUK","ENSG00000213341","protein_coding","CHUK","1"
"CKAP5","ENSG00000175216","protein_coding","CKAP5","13"
"CKB","ENSG00000166165","protein_coding","CKB","25"
"CKS2","ENSG00000123975","protein_coding","CKS2","1"
"CLASP2","ENSG00000163539","protein_coding","CLASP2","7"
"CLINT1","ENSG00000113282","protein_coding","CLINT1","5"
"CLK1","ENSG00000013441","protein_coding","CLK1","4"
"CLNS1A","ENSG00000074201","protein_coding","CLNS1A","1"
"CLTC","ENSG00000141367","protein_coding","CLTC","3"
"CNBP","ENSG00000169714","protein_coding","CNBP","21"
"CNDP1","ENSG00000150656","protein_coding","CNDP1","3"
"CNIH4","ENSG00000143771","protein_coding","CNIH4","2"
"CNOT1","ENSG00000125107","protein_coding","CNOT1","4"
"CNOT7","ENSG00000198791","protein_coding","CNOT7","1"
"CNST","ENSG00000162852","protein_coding","CNST","2"
